date,AAPL,GOOGL,AMZN,MSFT,META,fed_rate
2017-08-21,151.35781157152698,173.8966842348848,308.9880869840516,165.65267034358362,213.86869183675347,1.16
2017-08-22,153.83209080076398,177.58473171642973,313.3994706631388,167.97160862734137,216.2396126295683,1.16
2017-08-23,154.02470907976132,177.99640965702898,310.5147325251357,166.96140772002917,215.05418163762062,1.16
2017-08-24,153.34116388259972,176.9218924634465,308.71582056455964,166.89247631885982,213.81774370955293,1.16
2017-08-25,153.90914126306677,175.7152286846265,306.38533376716265,167.19103197290858,212.0076639783803,1.16
2017-08-28,155.45922453616913,175.26768508293554,306.631659453317,167.21397713177265,213.1803726407577,1.16
2017-08-29,156.84562874500534,176.70662586493768,309.2376521707467,167.71909677034418,214.2128808392111,1.16
2017-08-30,157.26922512220006,178.1946658508645,313.623119845508,169.9231557804582,216.59658277051562,1.16
2017-08-31,157.89498641101437,180.3871050964102,317.8400098470925,171.6680622093905,219.20969829652122,1.16
2017-09-01,157.94319217970104,179.77339410013508,317.07830682682084,169.7624821136635,219.27340795923834,1.15
2017-09-05,156.04649997763,177.78868225580916,312.87113532685856,169.0047930633485,217.6163294334525,1.15
2017-09-06,155.88282091336382,177.89064299910723,313.6911740858751,168.52258021381013,219.36262109001547,1.15
2017-09-07,155.25704387103033,179.37680908050555,317.47374845389584,170.68080646094234,220.7903448300197,1.15
2017-09-08,152.72498073344605,177.7754487129762,313.07532277697163,169.85422437928887,217.90951149979017,1.15
2017-09-11,155.48814799738116,178.13045919957838,316.98431185311614,171.64515542035733,221.17272042416127,1.15
2017-09-12,154.8719333411891,178.7649574623672,318.4818018893336,171.46145985503688,220.47165929562203,1.15
2017-09-13,153.7070078584855,179.48067278111546,323.99844874909223,172.67822474687182,220.5863954974323,1.15
2017-09-14,152.3880444652531,177.53374408158484,321.6031472118689,171.6680622093905,217.92223382936044,1.15
2017-09-15,153.92845507757977,176.6197580426094,319.8463734873341,172.90782981483582,218.7890184928568,1.15
2017-09-18,152.76348233431867,175.5735818392213,315.7623524659431,172.5634605827207,216.71127976637962,1.15
2017-09-19,152.8212189821084,176.91622717068597,314.3588821324421,173.2063854688846,219.91077902803363,1.15
2017-09-20,150.26026389035047,178.93305686704662,315.4447083098691,172.05839849889549,219.4646545652286,1.15
2017-09-21,147.67997923056032,178.93491624518342,312.6701626482744,170.3823659163862,218.1134412294044,1.15
2017-09-22,146.23583837393434,178.12482295960123,309.57475805907677,170.84155686739874,217.38687663280513,1.15
2017-09-25,144.94571967431804,176.42901199327952,304.6123378109125,168.20119451038994,207.60995258628884,1.15
2017-09-26,147.43935997862562,177.02386773313623,304.22663941447144,168.20119451038994,209.31803804819472,1.15
2017-09-27,148.48876490519217,181.26709937882245,308.2036827309831,169.55582220456358,213.7412529083461,1.15
2017-09-28,147.5741155816798,182.19433348702256,309.9961156904776,169.60171252229168,215.07966550270746,1.15
